,Name,Taken,Pos,FantasyPros,ESPN,,Name,Taken,Pos,FantasyPros,ESPN,,Name,Taken,Pos,FantasyPros,ESPN,,Name,Taken,Pos,FantasyPros,ESPN
140,Ryan Fitzpatrick,,QB22,147,194,42,Giovani Bernard,,RB22,58.9,75,178,Vance McDonald,,TE22,185.75,259,54,Doug Baldwin,,WR22,47.6,38
159,Jay Cutler,,QB23,162.33,260,44,Jeremy Langford,,RB23,61.5,58,187,Jordan Cameron,,TE23,175.83,188,56,Donte Moncrief,,WR23,49.1,47
168,Joe Flacco,,QB24,163.38,243,45,Ryan Mathews,,RB24,61.5,56,189,Kyle Rudolph,,TE24,180.57,257,57,Larry Fitzgerald,,WR24,56.2,54
171,Alex Smith,,QB25,161.57,266,46,Melvin Gordon,,RB25,62.8,63,196,Jared Cook,,TE25,184.43,244,59,Michael Floyd,,WR25,57.2,52
212,Brock Osweiler,,QB26,178,226,49,Duke Johnson,,RB26,65.4,8,201,Austin Seferian-Jenkins,,TE27,192.5,245,60,Kelvin Benjamin,,WR26,57.3,46
215,Robert Griffin,,QB27,180.25,270,55,Rashad Jennings,,RB27,74.1,67,202,Benjamin Watson,,TE28,188,210,61,Golden Tate,,WR27,60.2,45
216,Teddy Bridgewater,,QB28,184.4,261,58,Arian Foster,,RB28,76.1,62,207,Virgil Green,,TE34,208,13,65,Julian Edelman,,WR28,61.9,37
230,Blaine Gabbert,,QB29,180,60,62,Matt Jones,,RB29,62.56,59,219,Cameron Brate,,TE29,202,289,66,John Brown,,WR29,62.1,70
237,Mark Sanchez,,QB30,194,18,63,Ameer Abdullah,,RB30,81.7,76,221,Richard Rodgers,,TE33,192.5,291,68,Jordan Matthews,,WR30,62.2,71
,,,,,,71,Chris Ivory,,RB31,82.6,77,247,Jesse James,,TE32,259.5,265,69,Tyler Lockett,,WR31,65.9,83
,,,,,,73,Danny Woodhead,,RB32,84.1,65,250,Jacob Tamme,,TE31,224,264,72,Allen Hurns,,WR32,68.4,81
,,,,,,76,LeGarrette Blount,,RB33,89.7,107,255,Austin Hooper,,TE26,258,29,78,Devante Parker,,WR33,72.2,53
,,,,,,80,DeAngelo Williams,,RB34,90,73,256,Hunter Henry,,TE30,251,290,79,Emmanuel Sanders,,WR34,72.7,51
,,,,,,81,Isaiah Crowell,,RB35,101.6,105,,,,,,,82,Marvin Jones,,WR35,74.3,80
,,,,,,86,T.J. Yeldon,,RB36,95.78,74,,,,,,,83,DeSean Jackson,,WR36,76.3,72
,,,,,,102,Justin Forsett,,RB37,107,103,,,,,,,84,Michael Crabtree,,WR37,87.1,82
,,,,,,103,Bilal Powell,,RB38,107.9,95,,,,,,,85,Sterling Shepard,,WR38,91.2,85
,,,,,,108,Charles Sims,,RB39,102.56,104,,,,,,,90,Kevin White,,WR39,96.4,84
,,,,,,113,Derrick Henry,,RB40,105,94,,,,,,,91,Willie Snead,,WR40,98.4,98
,,,,,,117,Jay Ajayi,,RB41,111.89,100,,,,,,,92,Josh Gordon,,WR41,93.11,97
